"movie_id","primaryTitle","originalTitle","genre","runtimeMinutes","releaseYear","language","averageRating"
8042132,"Kaalidas","Kaalidas","Crime",126,2019,"en",7
8042132,"Kaalidas","Kaalidas","Action",126,2019,"en",7
8042248,"Kanchana 3","Kanchana 3","Comedy",164,2019,"en",4
8042248,"Kanchana 3","Kanchana 3","Horror",164,2019,"en",4
8042248,"Kanchana 3","Kanchana 3","Action",164,2019,"en",4
8042260,"Kanne Kalaimane","Kanne Kalaimaane","Drama",128,2019,"en",6
8042260,"Kanne Kalaimane","Kanne Kalaimaane","Romance",128,2019,"en",6
8042286,"Kanni Raasi","Kanni Raasi","Romance",133,2020,"en",5
8042292,"Kannum Kannum Kollaiyadithaal","Kannum Kannum Kollaiyadithaal","Drama",160,2020,"en",8
8042292,"Kannum Kannum Kollaiyadithaal","Kannum Kannum Kollaiyadithaal","Thriller",160,2020,"en",8
8042292,"Kannum Kannum Kollaiyadithaal","Kannum Kannum Kollaiyadithaal","Romance",160,2020,"en",8
8042324,"Lakshmi","Lakshmi","Drama",130,2018,"en",7
8042452,"Family First","Chien de garde","Drama",87,2018,"en",7
8043092,"Sammohanam","Sammohanam","Romance",137,2018,"en",8
8043306,"Teefa In Trouble","Teefa in Trouble","Comedy",155,2018,"en",7
8043306,"Teefa In Trouble","Teefa in Trouble","Crime",155,2018,"en",7
8043306,"Teefa In Trouble","Teefa in Trouble","Action",155,2018,"en",7
8043456,"Aa Karaala Ratri","Aa Karaala Ratri","Thriller",105,2018,"en",8
8045906,"Words on Bathroom Walls","Words on Bathroom Walls","Drama",110,2020,"en",7
8045906,"Words on Bathroom Walls","Words on Bathroom Walls","Romance",110,2020,"en",7
8046498,"Don't Tell a Soul","Don't Tell a Soul","Drama",83,2020,"en",6
8046498,"Don't Tell a Soul","Don't Tell a Soul","Thriller",83,2020,"en",6
8047208,"Taxiwala","Taxiwaala","Comedy",137,2018,"en",7
8047208,"Taxiwala","Taxiwaala","Horror",137,2018,"en",7
8047208,"Taxiwala","Taxiwaala","Thriller",137,2018,"en",7
8047210,"Until We Fall","Til vi falder","Drama",108,2018,"en",5
8047590,"Frieda: Coming Home","Frieda: Coming Home","Thriller",91,2020,"en",5
8047590,"Frieda: Coming Home","Frieda: Coming Home","Mystery",91,2020,"en",5
8048384,"Captain Sabertooth and the Magic Diamond","Kaptein Sabeltann og den magiske diamant","Animation",81,2019,"en",6
8048384,"Captain Sabertooth and the Magic Diamond","Kaptein Sabeltann og den magiske diamant","Family",81,2019,"en",6
8051738,"Bhaijaan Elo Re","Bhaijaan Elo Re","Comedy",160,2018,"en",7
8051738,"Bhaijaan Elo Re","Bhaijaan Elo Re","Adventure",160,2018,"en",7
8051738,"Bhaijaan Elo Re","Bhaijaan Elo Re","Action",160,2018,"en",7
